Incident Id,incident,Start_Time,predict,predict_time,Freeway,LOCATION
1,1,2015/2/2 8:04,0,2015/2/2 8:00,I10-E,7
2,1,2015/2/2 8:36,0,2015/2/2 8:00,I10-E,7
3,1,2015/2/2 8:04,0,2015/2/2 8:00,I10-E,7
4,1,2015/2/2 8:36,0,2015/2/2 8:00,I10-E,7
5,1,2015/2/2 8:04,0,2015/2/2 8:59,I10-E,7
6,1,2015/2/2 8:36,0,2015/2/2 8:59,I10-E,7
7,1,2014/9/3 15:51,0,2014/9/3 15:53,I10-E,4
8,1,2014/9/3 15:51,1,2014/9/3 15:53,I10-E,4
9,1,2014/9/3 15:51,1,2014/9/3 15:53,I10-E,4
10,1,2014/9/3 15:51,1,2014/9/3 15:33,I10-E,4
11,1,2014/9/3 15:51,1,2014/9/3 15:33,I10-E,4
