signaltime,speed,longitude,latitude,startmileage
2014-01-01 08:00:00,56,113.259697,23.24448,9821
2014-01-01 08:00:01,100,113.268478,23.314079,17622
2014-01-01 08:00:04,108,113.268356,23.310209,17193
2014-01-01 08:00:08,104,113.261223,23.261009,11655
2014-01-01 08:00:08,97,113.261047,23.258789,11409
2014-01-01 08:00:09,95,113.268318,23.309999,17170
2014-01-01 08:00:11,85,113.268318,23.309549,17121
2014-01-01 08:00:12,107,113.26786,23.29689,15717
2014-01-01 08:00:13,95,113.268173,23.306881,16824
2014-01-01 08:00:15,111,113.261742,23.264099,12000
2014-01-01 08:00:17,107,113.260834,23.256639,11170
2014-01-01 08:00:17,85,113.268257,23.30719,16858
2014-01-01 08:00:21,78,113.268349,23.31048,17223
2014-01-01 08:00:21,44,113.259651,23.24369,9735
2014-01-01 08:00:21,104,113.261253,23.261351,11693
2014-01-01 08:00:26,81,113.256531,23.23241,8444
2014-01-01 08:00:26,100,113.261688,23.264,11988
2014-01-01 08:00:27,96,113.268448,23.313061,17509
2014-01-01 08:00:27,100,113.268021,23.300871,16158
2014-01-01 08:00:28,87,113.268303,23.310289,17202
2014-01-01 08:00:28,111,113.267799,23.295879,15605
2014-01-01 08:00:30,104,113.260223,23.250681,10507
2014-01-01 08:00:31,85,113.256538,23.232821,8489
2014-01-01 08:00:31,81,113.260246,23.249941,10426
2014-01-01 08:00:31,74,113.258003,23.237261,9005
2014-01-01 08:00:32,104,113.2612,23.26034,11581
2014-01-01 08:00:32,96,113.268387,23.31057,17233
2014-01-01 08:00:37,85,113.259216,23.2439,9748
2014-01-01 08:00:41,81,113.257004,23.23551,8790
2014-01-01 08:00:42,96,113.268593,23.316879,17932
2014-01-01 08:00:42,104,113.262611,23.267559,12391
2014-01-01 08:00:43,93,113.268417,23.31358,17566
2014-01-01 08:00:43,92,113.268188,23.30492,16607
2014-01-01 08:00:45,115,113.263199,23.26911,12573
2014-01-01 08:00:46,81,113.257057,23.236,8844
2014-01-01 08:00:46,81,113.260536,23.253059,10772
2014-01-01 08:00:46,107,113.260681,23.255039,10992
2014-01-01 08:00:46,111,113.264503,23.272551,12977
2014-01-01 08:00:47,107,113.261879,23.26483,12082
2014-01-01 08:00:50,106,113.26593,23.2764,13430
2014-01-01 08:00:50,33,113.256248,23.229759,8152
2014-01-01 08:00:50,30,113.256203,23.230089,8189
2014-01-01 08:00:51,100,113.263107,23.268961,12554
2014-01-01 08:00:52,89,113.268608,23.31749,18000
2014-01-01 08:00:53,111,113.263672,23.270309,12715
2014-01-01 08:00:54,53,113.25705,23.237841,9040
2014-01-01 08:00:54,101,113.26416,23.27169,12875
2014-01-01 08:00:54,81,113.26062,23.25433,10913
2014-01-01 08:00:54,109,113.268044,23.29948,16004
2014-01-01 08:00:55,103,113.267677,23.29262,15243
2014-01-01 08:00:55,111,113.26786,23.297199,15751
2014-01-01 08:00:57,81,113.257813,23.238779,9161
2014-01-01 08:00:58,97,113.268578,23.317089,17955
2014-01-01 08:01:01,111,113.265938,23.27648,13439
2014-01-01 08:01:02,89,113.260849,23.256559,11161
2014-01-01 08:01:05,109,113.266922,23.280399,13885
2014-01-01 08:01:09,114,113.268143,23.303829,16486
2014-01-01 08:01:09,92,113.260963,23.2579,11310
2014-01-01 08:01:09,104,113.266121,23.276991,13499
2014-01-01 08:01:10,107,113.268021,23.301319,16208
2014-01-01 08:01:10,100,113.26783,23.29648,15672
2014-01-01 08:01:13,69,113.257538,23.23757,9025
2014-01-01 08:01:14,96,113.268402,23.31208,17400
2014-01-01 08:01:17,92,113.261162,23.259569,11496
2014-01-01 08:01:17,111,113.266991,23.281,13952
2014-01-01 08:01:18,100,113.264503,23.27256,12978
2014-01-01 08:01:21,100,113.268372,23.31027,17200
2014-01-01 08:01:22,100,113.265938,23.27652,13443
2014-01-01 08:01:22,87,113.260536,23.25379,10853
2014-01-01 08:01:23,63,113.259911,23.24769,10174
2014-01-01 08:01:24,106,113.266724,23.279341,13767
2014-01-01 08:01:24,111,113.26828,23.30798,16946
2014-01-01 08:01:25,115,113.267128,23.281719,14033
2014-01-01 08:01:25,93,113.26796,23.30018,16081
2014-01-01 08:01:25,96,113.261353,23.26169,11731
2014-01-01 08:01:28,89,113.25946,23.245199,9893
2014-01-01 08:01:29,100,113.268532,23.315889,17822
2014-01-01 08:01:31,118,113.267288,23.282789,14153
2014-01-01 08:01:32,100,113.261711,23.26372,11959
2014-01-01 08:01:32,111,113.267387,23.285219,14423
2014-01-01 08:01:32,111,113.26255,23.267151,12347
2014-01-01 08:01:37,100,113.26754,23.288771,14817
2014-01-01 08:01:37,89,113.260857,23.25712,11223
2014-01-01 08:01:39,111,113.268433,23.31213,17406
2014-01-01 08:01:40,98,113.268097,23.30382,16485
2014-01-01 08:01:40,104,113.262093,23.26552,12161
2014-01-01 08:01:41,85,113.268593,23.316771,17920
2014-01-01 08:01:41,100,113.265984,23.27667,13461
2014-01-01 08:01:44,52,113.256088,23.23073,8258
2014-01-01 08:01:45,107,113.268608,23.31675,17918
2014-01-01 08:01:45,111,113.265121,23.27388,13138
2014-01-01 08:01:47,104,113.263977,23.27109,12807
2014-01-01 08:01:48,89,113.260094,23.249229,10346
2014-01-01 08:01:48,100,113.262741,23.26771,12411
2014-01-01 08:01:49,111,113.266861,23.280161,13858
2014-01-01 08:01:51,48,113.258568,23.243311,9669
2014-01-01 08:01:52,98,113.261223,23.260651,11615
2014-01-01 08:01:52,101,113.267677,23.29262,15243
2014-01-01 08:01:53,106,113.267517,23.286421,14557
2014-01-01 08:01:53,104,113.267357,23.28437,14329
2014-01-01 08:01:53,104,113.261612,23.263371,11919
2014-01-01 08:01:55,107,113.267616,23.29018,14973
2014-01-01 08:01:56,104,113.263222,23.269079,12571
2014-01-01 08:01:56,106,113.266922,23.2805,13896
2014-01-01 08:01:56,104,113.268501,23.313749,17586
2014-01-01 08:01:58,100,113.256577,23.233179,8529
2014-01-01 08:02:00,109,113.266388,23.27784,13597
2014-01-01 08:02:03,89,113.260483,23.253071,10773
2014-01-01 08:02:04,104,113.26738,23.284241,14315
2014-01-01 08:02:08,104,113.267563,23.28858,14796
2014-01-01 08:02:08,109,113.267677,23.290501,15009
2014-01-01 08:02:08,89,113.262321,23.26656,12277
2014-01-01 08:02:09,106,113.267708,23.291451,15114
2014-01-01 08:02:09,104,113.260986,23.25868,11396
2014-01-01 08:02:11,104,113.26487,23.27335,13074
2014-01-01 08:02:17,118,113.267853,23.296141,15634
2014-01-01 08:02:17,60,113.259064,23.24338,9688
2014-01-01 08:02:20,104,113.26754,23.28853,14790
2014-01-01 08:02:21,98,113.25647,23.23,8178
2014-01-01 08:02:24,109,113.267853,23.295549,15569
2014-01-01 08:02:24,22,113.256409,23.22916,8086
2014-01-01 08:02:24,92,113.263649,23.27035,12718
2014-01-01 08:02:25,104,113.26149,23.262859,11861
2014-01-01 08:02:26,111,113.267929,23.298441,15889
2014-01-01 08:02:28,7,113.256416,23.229071,8076
2014-01-01 08:02:28,55,113.25972,23.24387,9756
2014-01-01 08:02:29,96,113.258423,23.24077,9391
2014-01-01 08:02:29,41,113.256104,23.230709,8256
2014-01-01 08:02:29,103,113.256493,23.232479,8451
2014-01-01 08:02:29,97,113.257294,23.236851,8941
2014-01-01 08:02:29,96,113.258759,23.24255,9590
2014-01-01 08:02:29,33,113.26059,23.256121,11110
2014-01-01 08:02:29,89,113.261047,23.25913,11446
2014-01-01 08:02:29,107,113.267838,23.295851,15602
2014-01-01 08:02:32,69,113.259621,23.24556,9936
2014-01-01 08:02:33,100,113.267281,23.282881,14163
2014-01-01 08:02:33,115,113.268044,23.30122,16197
2014-01-01 08:02:34,100,113.268021,23.302679,16358
2014-01-01 08:02:34,89,113.261147,23.25983,11524
2014-01-01 08:02:39,4,113.256332,23.22941,8115
2014-01-01 08:02:39,100,113.265091,23.27404,13154
2014-01-01 08:02:39,107,113.267868,23.29697,15726
2014-01-01 08:02:39,103,113.267998,23.29953,16010
2014-01-01 08:02:40,104,113.262383,23.26675,12299
2014-01-01 08:02:42,7,113.256332,23.22946,8119
2014-01-01 08:02:43,15,113.25634,23.22941,8115
2014-01-01 08:02:43,69,113.259827,23.246309,10021
2014-01-01 08:02:44,97,113.258301,23.240379,9346
2014-01-01 08:02:44,96,113.2593,23.244341,9797
2014-01-01 08:02:44,105,113.257133,23.23637,8886
2014-01-01 08:02:45,107,113.267982,23.299629,16020
2014-01-01 08:02:45,92,113.261497,23.262859,11861
2014-01-01 08:02:49,100,113.26725,23.28232,14101
2014-01-01 08:02:49,96,113.267509,23.286909,14611
2014-01-01 08:02:50,89,113.261627,23.26346,11929
2014-01-01 08:02:52,87,113.26519,23.27442,13197
2014-01-01 08:02:53,106,113.268097,23.302851,16377
2014-01-01 08:02:54,106,113.268143,23.30349,16448
2014-01-01 08:02:54,97,113.260384,23.252621,10722
2014-01-01 08:02:57,85,113.256851,23.23465,8693
2014-01-01 08:02:57,26,113.256187,23.230181,8199
2014-01-01 08:02:57,104,113.267502,23.28532,14435
2014-01-01 08:02:58,77,113.260132,23.249001,10321
2014-01-01 08:03:02,92,113.260292,23.25131,10577
2014-01-01 08:03:07,98,113.268417,23.31164,17352
2014-01-01 08:03:07,34,113.256081,23.230881,8275
2014-01-01 08:03:07,87,113.266228,23.27754,13560
2014-01-01 08:03:08,109,113.26825,23.30689,16825
2014-01-01 08:03:08,104,113.260849,23.256941,11203
2014-01-01 08:03:09,97,113.260803,23.25647,11151
2014-01-01 08:03:12,85,113.257339,23.23707,8966
2014-01-01 08:03:13,100,113.256531,23.229389,8111
2014-01-01 08:03:13,104,113.267601,23.28903,14846
2014-01-01 08:03:16,107,113.268318,23.30855,17009
2014-01-01 08:03:17,97,113.260651,23.25493,10979
2014-01-01 08:03:21,93,113.259193,23.244141,9773
2014-01-01 08:03:21,85,113.256889,23.23477,8707
2014-01-01 08:03:22,93,113.266968,23.280899,13941
2014-01-01 08:03:22,89,113.268578,23.315201,17746
2014-01-01 08:03:25,100,113.256638,23.2335,8565
2014-01-01 08:03:25,104,113.267448,23.285879,14497
2014-01-01 08:03:26,105,113.26815,23.30434,16543
2014-01-01 08:03:32,105,113.261032,23.258751,11404
2014-01-01 08:03:37,85,113.257477,23.2376,9027
2014-01-01 08:03:38,109,113.268532,23.31522,17748
2014-01-01 08:03:38,56,113.256523,23.2285,8000
2014-01-01 08:03:38,107,113.261192,23.259951,11538
2014-01-01 08:03:39,107,113.260307,23.25119,10564
2014-01-01 08:03:39,106,113.268578,23.31559,17789
2014-01-01 08:03:39,107,113.261223,23.26022,11568
2014-01-01 08:03:42,100,113.267197,23.282391,14108
2014-01-01 08:03:43,100,113.267891,23.297041,15734
2014-01-01 08:03:43,85,113.259247,23.244169,9777
2014-01-01 08:03:45,101,113.268333,23.30633,16763
2014-01-01 08:03:46,104,113.2686,23.316549,17896
2014-01-01 08:03:46,89,113.266022,23.276779,13473
2014-01-01 08:03:51,92,113.266312,23.277639,13573
2014-01-01 08:03:51,96,113.267891,23.297211,15753
2014-01-01 08:03:51,103,113.260239,23.251499,10597
2014-01-01 08:03:52,95,113.267517,23.28797,14728
2014-01-01 08:03:52,104,113.26844,23.31255,17452
2014-01-01 08:03:52,92,113.258598,23.241381,9461
2014-01-01 08:03:54,100,113.263023,23.268761,12530
2014-01-01 08:03:54,105,113.262733,23.26778,12418
2014-01-01 08:03:54,111,113.260719,23.255381,11030
2014-01-01 08:03:55,58,113.259758,23.24465,9841
2014-01-01 08:03:55,107,113.261848,23.264589,12055
2014-01-01 08:03:57,96,113.267441,23.28615,14527
2014-01-01 08:03:59,114,113.261238,23.26099,11653
2014-01-01 08:03:59,105,113.260643,23.255199,11009
2014-01-01 08:03:59,58,113.261391,23.257851,11310
2014-01-01 08:03:59,104,113.268044,23.30125,16200
2014-01-01 08:04:00,100,113.256989,23.235519,8791
2014-01-01 08:04:00,97,113.268433,23.310471,17222
2014-01-01 08:04:05,10,113.256264,23.22965,8140
2014-01-01 08:04:07,111,113.268578,23.316351,17874
2014-01-01 08:04:08,107,113.259399,23.244699,9838
2014-01-01 08:04:09,96,113.264397,23.272329,12950
2014-01-01 08:04:11,95,113.268532,23.31502,17726
2014-01-01 08:04:12,100,113.267578,23.2899,14942
2014-01-01 08:04:12,107,113.259583,23.24568,9948
2014-01-01 08:04:13,101,113.262383,23.26652,12275
2014-01-01 08:04:14,111,113.261963,23.265221,12125
2014-01-01 08:04:14,106,113.261047,23.25915,11448
2014-01-01 08:04:14,81,113.260246,23.25119,10563
2014-01-01 08:04:14,96,113.26815,23.305161,16633
2014-01-01 08:04:16,100,113.262627,23.26758,12394
2014-01-01 08:04:16,107,113.263367,23.26981,12651
2014-01-01 08:04:17,92,113.267342,23.28401,14289
2014-01-01 08:04:17,108,113.263657,23.27042,12725
2014-01-01 08:04:21,105,113.261063,23.2589,11421
2014-01-01 08:04:21,100,113.268349,23.310129,17184
2014-01-01 08:04:22,98,113.267807,23.29537,15549
2014-01-01 08:04:22,100,113.267464,23.285151,14416
2014-01-01 08:04:22,92,113.268173,23.305321,16651
2014-01-01 08:04:23,107,113.260071,23.249319,10355
2014-01-01 08:04:24,103,113.265472,23.27496,13263
2014-01-01 08:04:25,96,113.265678,23.27569,13347
2014-01-01 08:04:25,107,113.261627,23.26342,11924
2014-01-01 08:04:27,107,113.260139,23.24992,10422
2014-01-01 08:04:29,114,113.263313,23.26936,12603
2014-01-01 08:04:29,108,113.261559,23.26318,11897
2014-01-01 08:04:29,78,113.260551,23.25425,10903
2014-01-01 08:04:31,92,113.258904,23.242649,9606
2014-01-01 08:04:34,92,113.2565,23.22994,8171
2014-01-01 08:04:37,100,113.267601,23.28898,14840
2014-01-01 08:04:37,100,113.267952,23.299141,15966
2014-01-01 08:04:38,107,113.26049,23.253429,10812
2014-01-01 08:04:41,111,113.266029,23.27668,13463
2014-01-01 08:04:42,107,113.260559,23.254089,10886
2014-01-01 08:04:42,26,113.256287,23.22961,8136
2014-01-01 08:04:42,85,113.268204,23.30534,16653
2014-01-01 08:04:44,96,113.259491,23.245319,9907
2014-01-01 08:04:47,111,113.26619,23.27776,13582
2014-01-01 08:04:47,104,113.25972,23.24658,10049
2014-01-01 08:04:50,89,113.25666,23.23369,8585
2014-01-01 08:04:51,108,113.262428,23.267179,12346
2014-01-01 08:04:53,74,113.259659,23.24527,9906
2014-01-01 08:04:54,107,113.261002,23.25783,11302
2014-01-01 08:04:54,105,113.267303,23.282961,14172
2014-01-01 08:04:58,85,113.268333,23.308861,17043
2014-01-01 08:04:58,107,113.260971,23.25828,11352
2014-01-01 08:04:59,113,113.264023,23.27124,12824
2014-01-01 08:04:59,104,113.268028,23.302179,16303
2014-01-01 08:04:59,111,113.26619,23.277281,13532
2014-01-01 08:05:02,111,113.267029,23.28186,14047
2014-01-01 08:05:03,81,113.267738,23.29418,15416
2014-01-01 08:05:03,104,113.266708,23.279409,13774
2014-01-01 08:05:07,92,113.26825,23.30662,16795
2014-01-01 08:05:08,104,113.267838,23.296909,15719
2014-01-01 08:05:08,89,113.26857,23.31599,17834
2014-01-01 08:05:08,100,113.260063,23.24868,10285
2014-01-01 08:05:11,104,113.267509,23.287821,14712
2014-01-01 08:05:12,111,113.267464,23.285,14399
2014-01-01 08:05:13,33,113.260689,23.256149,11114
2014-01-01 08:05:18,107,113.267387,23.28632,14545
2014-01-01 08:05:18,107,113.267303,23.28315,14193
2014-01-01 08:05:18,85,113.26786,23.297421,15776
2014-01-01 08:05:21,100,113.267601,23.29043,15001
2014-01-01 08:05:21,103,113.265343,23.27478,13240
2014-01-01 08:05:24,106,113.267647,23.290739,15035
2014-01-01 08:05:24,107,113.262352,23.266291,12250
2014-01-01 08:05:24,101,113.256493,23.22983,8159
2014-01-01 08:05:26,100,113.267647,23.29171,15143
2014-01-01 08:05:29,100,113.266617,23.2789,13716
2014-01-01 08:05:31,89,113.262604,23.267521,12387
2014-01-01 08:05:35,92,113.259148,23.243759,9731
2014-01-01 08:05:36,113,113.266548,23.27866,13689
2014-01-01 08:05:37,92,113.259148,23.243759,9731
2014-01-01 08:05:37,96,113.267754,23.29447,15448
2014-01-01 08:05:40,111,113.263802,23.27059,12748
2014-01-01 08:05:41,96,113.2565,23.229811,8157
2014-01-01 08:05:44,116,113.267647,23.290291,14986
2014-01-01 08:05:44,115,113.263718,23.270411,12727
2014-01-01 08:05:45,100,113.268463,23.31345,17552
2014-01-01 08:05:48,107,113.261467,23.26272,11845
2014-01-01 08:05:48,104,113.267677,23.29439,15439
2014-01-01 08:05:49,104,113.267693,23.29155,15125
2014-01-01 08:05:49,81,113.26812,23.30405,16510
2014-01-01 08:05:52,100,113.259933,23.24815,10225
2014-01-01 08:05:54,105,113.257439,23.237499,9015
2014-01-01 08:05:54,37,113.268883,23.311729,17364
2014-01-01 08:05:58,96,113.25666,23.233749,8592
2014-01-01 08:05:59,107,113.26535,23.27462,13223
2014-01-01 08:05:59,103,113.267502,23.286631,14580
2014-01-01 08:06:02,107,113.260773,23.255859,11083
2014-01-01 08:06:02,89,113.256706,23.23402,8622
2014-01-01 08:06:04,48,113.257187,23.237749,9034
2014-01-01 08:06:04,100,113.267838,23.29862,15908
2014-01-01 08:06:04,107,113.267838,23.29562,15577
2014-01-01 08:06:05,81,113.268227,23.30744,16886
2014-01-01 08:06:10,52,113.268852,23.31366,17578
2014-01-01 08:06:13,96,113.268044,23.30192,16274
2014-01-01 08:06:13,101,113.26786,23.295959,15614
2014-01-01 08:06:13,111,113.267792,23.294189,15417
2014-01-01 08:06:15,111,113.26667,23.27914,13744
2014-01-01 08:06:17,96,113.26516,23.274309,13184
2014-01-01 08:06:17,98,113.268044,23.302139,16299
2014-01-01 08:06:17,85,113.266212,23.27743,13548
2014-01-01 08:06:17,61,113.260612,23.257629,11275
2014-01-01 08:06:19,107,113.2612,23.26059,11609
2014-01-01 08:06:20,85,113.268341,23.31044,17219
2014-01-01 08:06:21,100,113.267632,23.29088,15051
2014-01-01 08:06:24,97,113.268211,23.306561,16789
2014-01-01 08:06:25,111,113.263458,23.26976,12650
2014-01-01 08:06:25,15,113.268852,23.31543,17773
2014-01-01 08:06:25,89,113.268501,23.314409,17659
2014-01-01 08:06:26,111,113.267281,23.28306,14183
2014-01-01 08:06:28,111,113.26796,23.298441,15889
2014-01-01 08:06:28,95,113.268044,23.29974,16033
2014-01-01 08:06:29,108,113.267822,23.29454,15456
2014-01-01 08:06:29,114,113.268097,23.303049,16399
2014-01-01 08:06:29,92,113.268181,23.30579,16703
2014-01-01 08:06:30,107,113.267311,23.2834,14221
2014-01-01 08:06:32,89,113.266937,23.280661,13914
2014-01-01 08:06:33,100,113.266388,23.27812,13627
2014-01-01 08:06:34,107,113.26545,23.275021,13269
2014-01-01 08:06:35,111,113.261948,23.26498,12100
2014-01-01 08:06:38,107,113.260132,23.249809,10410
2014-01-01 08:06:39,100,113.268341,23.31003,17173
2014-01-01 08:06:41,41,113.260757,23.25765,11279
2014-01-01 08:06:41,107,113.267517,23.287571,14684
2014-01-01 08:06:42,116,113.260406,23.25238,10696
2014-01-01 08:06:43,44,113.256233,23.23008,8188
2014-01-01 08:06:44,104,113.268318,23.3095,17115
2014-01-01 08:06:45,107,113.267502,23.287439,14670
2014-01-01 08:06:47,106,113.260712,23.255831,11079
2014-01-01 08:06:49,104,113.261467,23.2628,11854
2014-01-01 08:06:50,111,113.263077,23.26877,12533
2014-01-01 08:06:50,111,113.266663,23.279221,13752
2014-01-01 08:06:53,44,113.261177,23.25775,11296
2014-01-01 08:06:53,107,113.260551,23.25411,10888
2014-01-01 08:06:54,103,113.260452,23.252859,10749
2014-01-01 08:06:57,117,113.260857,23.25675,11182
2014-01-01 08:06:57,107,113.267677,23.29196,15170
2014-01-01 08:06:59,89,113.256493,23.23151,8345
2014-01-01 08:06:59,107,113.268242,23.30707,16845
2014-01-01 08:07:01,104,113.267647,23.29174,15146
2014-01-01 08:07:02,101,113.261124,23.259821,11523
2014-01-01 08:07:03,104,113.26857,23.316151,17851
2014-01-01 08:07:05,115,113.26841,23.313761,17587
2014-01-01 08:07:05,111,113.267303,23.283449,14226
2014-01-01 08:07:06,85,113.268356,23.310329,17207
2014-01-01 08:07:06,101,113.268044,23.30265,16355
2014-01-01 08:07:08,107,113.264809,23.27323,13059
2014-01-01 08:07:09,111,113.261017,23.2586,11388
2014-01-01 08:07:09,100,113.260849,23.256571,11162
2014-01-01 08:07:13,79,113.268387,23.309759,17144
2014-01-01 08:07:13,107,113.260391,23.25235,10692
2014-01-01 08:07:14,111,113.268547,23.315411,17769
2014-01-01 08:07:14,48,113.256783,23.228451,8000
2014-01-01 08:07:14,100,113.268257,23.306511,16783
2014-01-01 08:07:16,107,113.267799,23.29562,15577
2014-01-01 08:07:17,103,113.261627,23.263651,11949
2014-01-01 08:07:21,105,113.268188,23.30654,16786
2014-01-01 08:07:21,96,113.268501,23.3139,17602
2014-01-01 08:07:24,115,113.261528,23.262911,11867
2014-01-01 08:07:25,52,113.256599,23.22875,8040
2014-01-01 08:07:28,87,113.268501,23.31286,17487
2014-01-01 08:07:29,101,113.268387,23.31048,17223
2014-01-01 08:07:29,92,113.260841,23.25696,11205
2014-01-01 08:07:31,56,113.256828,23.22843,8000
2014-01-01 08:07:32,111,113.26796,23.299801,16039
2014-01-01 08:07:33,106,113.256508,23.22979,8155
2014-01-01 08:07:36,18,113.256233,23.23024,8206
2014-01-01 08:07:36,111,113.267677,23.29215,15191
2014-01-01 08:07:36,101,113.268349,23.310471,17222
2014-01-01 08:07:39,106,113.261848,23.264481,12044
2014-01-01 08:07:40,111,113.262573,23.26722,12355
2014-01-01 08:07:42,107,113.267647,23.29063,15023
2014-01-01 08:07:43,104,113.26815,23.30456,16567
2014-01-01 08:07:44,89,113.261162,23.260281,11574
2014-01-01 08:07:46,71,113.256409,23.22864,8029
2014-01-01 08:07:47,100,113.26812,23.30418,16525
2014-01-01 08:07:50,96,113.267899,23.2976,15796
2014-01-01 08:07:51,101,113.268494,23.31432,17649
2014-01-01 08:07:51,104,113.261139,23.26034,11580
2014-01-01 08:07:54,98,113.262878,23.2682,12467
2014-01-01 08:07:57,111,113.267776,23.2945,15452
2014-01-01 08:07:59,89,113.256561,23.23082,8268
2014-01-01 08:08:00,92,113.259041,23.243179,9666
2014-01-01 08:08:00,89,113.259369,23.244711,9839
2014-01-01 08:08:02,104,113.268257,23.30805,16953
2014-01-01 08:08:02,103,113.26548,23.27508,13276
2014-01-01 08:08:05,96,113.268044,23.301229,16198
2014-01-01 08:08:05,85,113.26799,23.301319,16208
2014-01-01 08:08:09,100,113.264236,23.27179,12889
2014-01-01 08:08:09,104,113.261971,23.265301,12134
2014-01-01 08:08:09,111,113.267647,23.290291,14986
2014-01-01 08:08:11,18,113.25631,23.22975,8151
2014-01-01 08:08:11,107,113.26725,23.28302,14178
2014-01-01 08:08:12,116,113.266502,23.278021,13619
2014-01-01 08:08:13,104,113.26796,23.299179,15971
2014-01-01 08:08:15,63,113.258667,23.243311,9672
2014-01-01 08:08:15,81,113.259781,23.24696,10092
2014-01-01 08:08:15,18,113.256088,23.22961,8137
2014-01-01 08:08:16,92,113.259987,23.248581,10273
2014-01-01 08:08:16,27,113.256332,23.22982,8159
2014-01-01 08:08:16,111,113.263062,23.2687,12526
2014-01-01 08:08:16,23,113.256241,23.22957,8132
2014-01-01 08:08:18,100,113.26841,23.31226,17420
2014-01-01 08:08:22,89,113.268112,23.30409,16515
2014-01-01 08:08:25,44,113.256401,23.2293,8102
2014-01-01 08:08:26,115,113.266907,23.280319,13877
2014-01-01 08:08:26,104,113.267487,23.287479,14674
2014-01-01 08:08:27,116,113.267281,23.282391,14109
2014-01-01 08:08:28,101,113.263161,23.269039,12564
2014-01-01 08:08:29,56,113.256149,23.231319,8324
2014-01-01 08:08:30,89,113.257393,23.23719,8980
2014-01-01 08:08:30,81,113.259712,23.24543,9924
2014-01-01 08:08:31,92,113.260223,23.25054,10491
2014-01-01 08:08:32,111,113.264633,23.27277,13005
2014-01-01 08:08:33,104,113.268562,23.316191,17856
2014-01-01 08:08:34,95,113.25663,23.22871,8035
2014-01-01 08:08:35,81,113.268227,23.307871,16933
2014-01-01 08:08:36,100,113.268288,23.30829,16980
2014-01-01 08:08:37,85,113.268204,23.30677,16812
2014-01-01 08:08:41,41,113.256126,23.230671,8252
2014-01-01 08:08:41,111,113.267403,23.28462,14357
2014-01-01 08:08:42,104,113.267639,23.291691,15140
2014-01-01 08:08:42,121,113.267517,23.28684,14603
2014-01-01 08:08:43,92,113.268188,23.305719,16695
2014-01-01 08:08:44,118,113.265907,23.2763,13419
2014-01-01 08:08:45,89,113.258507,23.24114,9433
2014-01-01 08:08:45,100,113.260094,23.248949,10315
2014-01-01 08:08:46,96,113.260567,23.254169,10895
2014-01-01 08:08:47,108,113.267502,23.286579,14574
2014-01-01 08:08:49,87,113.256538,23.232201,8421
2014-01-01 08:08:50,100,113.256523,23.231649,8360
2014-01-01 08:08:51,92,113.268463,23.31254,17451
2014-01-01 08:08:53,85,113.268372,23.31077,17255
2014-01-01 08:08:56,107,113.26815,23.30378,16480
2014-01-01 08:08:56,111,113.26754,23.288891,14830
2014-01-01 08:08:57,116,113.2677,23.291361,15104
2014-01-01 08:08:59,100,113.268402,23.310499,17225
2014-01-01 08:09:00,92,113.259354,23.24453,9819
2014-01-01 08:09:01,104,113.266991,23.280621,13911
2014-01-01 08:09:01,111,113.260551,23.25325,10793
2014-01-01 08:09:03,92,113.256897,23.234859,8717
2014-01-01 08:09:03,92,113.260223,23.251101,10553
2014-01-01 08:09:04,89,113.257004,23.235571,8797
2014-01-01 08:09:06,85,113.268478,23.314211,17637
2014-01-01 08:09:07,92,113.26857,23.316219,17859
2014-01-01 08:09:11,107,113.268288,23.307501,16893
2014-01-01 08:09:11,111,113.266953,23.280661,13915
2014-01-01 08:09:13,100,113.266617,23.27898,13725
2014-01-01 08:09:14,107,113.268517,23.313931,17606
2014-01-01 08:09:15,40,113.256561,23.235571,8788
2014-01-01 08:09:17,100,113.26133,23.26158,11719
2014-01-01 08:09:17,105,113.267792,23.294821,15487
